id,fin_year,month,state_code,state_name,district_code,district_name,report_date,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
3654,2018-2019,Feb,31,UTTAR PRADESH,3176,SHRAVASTI,2019-02-01,1545739,166.126960184304,40,92,424.263518206,5931,0,5115,1455858,504301,49758,7725,1335,81.59779,2924.433948206,36046,45194,72526,136820,491,128117,215979,11046,2418.57264,475911,65,84.49,69.29,113.23,
3655,2018-2019,Feb,31,UTTAR PRADESH,3180,KASHGANJ,2019-02-01,1164878,172.38422379416,38,111,802.67620619,3333,1,2362,1339606,275296,24852,1066,69,81.51229,3193.45790119,34881,42396,61193,112564,504,131050,207605,5695,2309.269405,320999,31,62.48,78.81,111.11,
3656,2018-2019,Feb,31,UTTAR PRADESH,3110,MORADABAD,2019-02-01,1833739,169.265355563064,38,144,556.765046735,7824,62,4759,2074639,481053,35781,367,17,124.32273,4192.732856735,54417,67804,92969,148937,712,158837,234946,12583,3511.64508,627238,65,81.69,70.51,107.88,
3657,2018-2019,Feb,31,UTTAR PRADESH,3125,BAREILLY,2019-02-01,1082972,176.314481030341,28,184,683.157413016,6267,1,6488,1938543,487183,61309,367,44,172.60417,4273.693613016,67247,77896,135739,222082,332,263501,391839,12755,3417.93203,303472,39,68.33,70.67,120.98,
3658,2018-2019,Feb,31,UTTAR PRADESH,3132,LUCKNOW,2019-02-01,1156176,173.496460390152,38,57,801.119506527,7003,37,3613,1320202,853103,85752,2899,325,96.41335,3188.036596527,34213,40996,69789,125468,459,190920,294569,10616,2290.50374,387265,77,66.79,62.85,111.33,
3659,2018-2019,Feb,31,UTTAR PRADESH,3137,KANPUR NAGAR,2019-02-01,992017,160.924944590387,34,81,240.98184201,5035,1,6051,895332,332527,49339,16714,2382,63.56357,1745.35793691,25687,30108,62524,116332,121,199924,307712,11086,1440.8125249,230207,70,70.93,62.54,112.88,
3660,2018-2019,Feb,31,UTTAR PRADESH,3143,FATEHPUR,2019-02-01,3175067,164.103139550324,42,142,1776.918278911,19626,0,16485,3253364,1381256,98515,285,18,205.919,7321.709743911,76600,88352,141188,211913,610,268944,373507,36111,5338.872465,1376891,84,67.63,51.65,114.49,
3661,2018-2019,Feb,31,UTTAR PRADESH,3149,AYODHYA,2019-02-01,3274977,167.182920581737,45,146,2149.444050439,17113,1,12577,3460879,1334130,88312,6754,375,242.5318,8177.974440439,76305,89724,131292,215455,2291,233314,354094,29690,5785.99859,1364578,64,63.14,59.38,116.57,
3662,2018-2019,Feb,31,UTTAR PRADESH,3152,MAHARAJGANJ,2019-02-01,4006692,174.768838110389,39,685,3627.836349334,15702,0,12506,5383162,1406776,103255,24830,2703,396.02382,13431.949850334,137006,173845,212916,389875,844,332337,563148,28208,9408.089681,2067640,71,46.48,44.85,112.38,
3663,2018-2019,Feb,31,UTTAR PRADESH,3155,DEORIA,2019-02-01,3375918,180.136078491434,43,64,1952.082844119,8912,3,7354,3199330,956842,49781,94752,4664,243.78902,7959.019464119,73627,77837,128352,161664,504,238836,291519,16266,5763.1476,1130706,48,66.92,63.15,100.82,
3664,2018-2019,Feb,31,UTTAR PRADESH,3158,JAUNPUR,2019-02-01,4035596,178.696928858826,45,114,3767.28126545499,25334,15,15013,4379447,1666541,98748,17479,1512,340.48343,11933.701985455,96091,103023,177187,229860,1884,399899,493211,40347,7825.93729,1917637,70,87.46,66.16,107.83,
3665,2018-2019,Feb,31,UTTAR PRADESH,3162,MIRZAPUR,2019-02-01,2380349,169.777887139726,40,104,2069.491664529,20867,1,16224,2653777,1188109,118073,27050,2690,211.87268,6786.890864529,65232,89230,125927,238267,389,301270,506264,37091,4505.52652,1194960,83,59.14,36.2,116.3,
3666,2018-2019,Feb,31,UTTAR PRADESH,3163,SONBHADRA,2019-02-01,2341428,172.069128632284,38,179,2107.464005782,21184,7,11915,3154799,1019808,123321,953402,120718,249.569,7785.468155182,82415,118346,153430,377762,830,342987,759182,33099,5428.4351494,1413395,84,74.26,45.16,104.56,
3667,2018-2019,Feb,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,2019-02-01,9991,173.206066945607,22,0,0,113,76,108,9560,2157,548,76,14,0,16.5585,433,489,1270,1769,1,16005,18473,221,16.5585,1451,23,11.49,91.74,112.55,
3668,2018-2019,Feb,31,UTTAR PRADESH,3165,BAGHPAT,2019-02-01,111576,157.26256723328,37,6,18.107940943,439,4,404,88126,31866,3735,27,11,4.084,160.781150943,2336,2756,7801,11604,28,32124,44540,843,138.58921,24241,5,28.6,82.91,124.4,
3669,2018-2019,Feb,31,UTTAR PRADESH,3168,KANNAUJ,2019-02-01,1578433,178.630283044038,31,122,1011.235373084,7858,3,11394,1311810,485137,55054,587,54,121.88526,3476.410549084,41204,47104,83623,129759,181,150032,212137,19252,2343.289916,281915,70,61.46,51.04,117.66,
3670,2018-2019,Feb,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,2019-02-01,2302067,168.202486058258,39,45,1830.258647979,15807,1,6516,2472790,988189,99794,5168,493,197.94989,6187.502792979,62506,73889,115884,208790,539,248702,396118,22323,4159.294255,1033971,74,62.77,51.65,103.25,
3671,2018-2019,Feb,31,UTTAR PRADESH,3181,AMETHI,2019-02-01,2844952,173.764292268265,44,70,2018.722564981,11574,3,20570,3001448,902036,57964,14754,811,242.95371,7477.121149981,67460,80068,111179,185980,1103,228033,347157,32144,5215.444875,1004240,74,50.59,43.77,109.41,
3672,2018-2019,Feb,31,UTTAR PRADESH,3182,HAPUR,2019-02-01,85031,176.460330975461,33,13,4.751039515,243,49,106,137412,68815,3550,37,6,4.15953,251.388239515,4072,4477,7906,9084,14,12246,14054,349,242.47767,45937,0,49.16,65.9,104.6,
3673,2018-2019,Feb,31,UTTAR PRADESH,3109,BIJNOR,2019-02-01,1572739,170.08154094203,21,217,758.996396268,6803,1,5404,1771981,722463,108654,3848,578,129.31767,3902.126656268,82234,101714,146199,243943,258,208814,326640,12207,3013.81259,469822,32,55.11,72.85,112.45,
3674,2018-2019,Feb,31,UTTAR PRADESH,3115,MEERUT,2019-02-01,339543,163.075372063916,37,21,108.607863535,1125,9,675,328371,164030,12646,224,8,6.88701,650.987103535,8684,10451,19334,25799,91,53717,66231,1800,535.49223,109358,44,62.4,79.48,130.32,
3675,2018-2019,Feb,31,UTTAR PRADESH,3116,GHAZIABAD,2019-02-01,1261,161.968085106383,12,0,0,3,161,3,188,51,19,0,0,0,0.3045,15,15,71,200,0,17610,25865,6,0.3045,100,0,36.17,64.89,100,
3676,2018-2019,Feb,31,UTTAR PRADESH,3118,ALIGARH,2019-02-01,1837588,173.680669971277,32,108,2335.435560978,4548,7,3448,1751896,554333,46301,1961,161,167.83884,5545.979110978,54238,60502,105078,150393,133,194670,263728,7996,3042.70471,411613,25,62.35,71.73,101.1,
3677,2018-2019,Feb,31,UTTAR PRADESH,3120,AGRA,2019-02-01,1573335,175.271745726293,36,73,598.962392613,4204,16,2596,1404109,429617,37930,11629,931,91.04243,3151.011178813,37973,45361,73664,109421,202,157739,214871,6800,2461.0063562,408986,50,71.14,67.8,106.01,
3678,2018-2019,Feb,31,UTTAR PRADESH,3133,RAE BARELI,2019-02-01,3301929,166.517194058071,36,165,3425.517517676,22792,0,17907,3444134,1086188,115809,7580,832,304.32712,9464.919934076,93099,112974,178816,327681,1915,313647,519739,40699,5735.0752964,1317312,65,44.72,36.53,100.38,
3679,2018-2019,Feb,31,UTTAR PRADESH,3146,BAHRAICH,2019-02-01,4427106,174.360287487903,43,368,2166.752619385,47561,0,20328,5577626,958954,75459,33826,2815,359.136,12251.053347985,129279,159957,215505,352925,973,445426,645141,67889,9725.1647286,1992790,85,64.04,37.43,109.36,
3680,2018-2019,Feb,31,UTTAR PRADESH,3150,SULTANPUR,2019-02-01,2965417,172.697571786327,45,113,2831.970702075,27058,2,18095,3748764,1058575,61209,8540,398,333.99239,9639.987492075,82659,95004,136442,200190,704,293498,397013,45153,6474.0244,1507441,80,48.44,29.13,117.01,
3681,2018-2019,Feb,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,2019-02-01,6959086,170.82650417695,41,114,6264.620892642,9313,5,10945,7430542,1609343,77521,8317,297,574.83092,19532.786952642,177687,201452,244660,332739,826,367363,479050,20258,12693.33514,3589508,42,51.45,56.22,115.34,
3682,2018-2019,Feb,31,UTTAR PRADESH,3159,BALLIA,2019-02-01,3525225,173.297455845005,43,109,1954.079543697,18895,2,13434,3892255,612137,36168,97026,4772,295.12538,8994.383813697,90125,101007,152952,220827,733,298542,403690,32329,6745.17889,1490328,70,63.63,54.36,127.62,
3683,2018-2019,Feb,31,UTTAR PRADESH,3170,KAUSHAMBI,2019-02-01,1283558,169.288605861824,40,96,570.129918142,12570,1,9420,1433581,775841,88510,556,71,115.58309,3112.602296942,35021,44315,77373,146252,391,208852,339522,21990,2426.8892888,653865,88,77.11,43.13,113.21,
3684,2018-2019,Feb,31,UTTAR PRADESH,3175,BALRAMPUR,2019-02-01,2527318,172.355442733764,47,75,855.003527126,7834,0,5031,3087465,601693,32161,40056,2776,171.95514,6348.372637126,65135,74915,109677,161543,2086,183728,254123,12865,5321.41397,897402,53,62.25,73.96,117.39,
3685,2018-2019,Feb,31,UTTAR PRADESH,3184,SAMBHAL,2019-02-01,1905922,171.006093662159,38,155,736.64076353,5857,115,3287,2011805,598580,43739,352,13,134.48682,4311.43672613,52596,61909,90860,133264,810,159133,218264,9144,3440.3091426,463248,43,63.33,61.25,120.47,
3800,2022-2023,Nov,31,UTTAR PRADESH,3112,SAHARANPUR,2022-11-01,1561816,202.284859955825,27,121,1212.389716607,8683,3,16007,1520306,716067,80990,2710,278,142.68568,4430.424259607,54595,63723,107122,154531,1238,167960,244957,24690,3075.348863,547907,26,63.6,74,103.5,
3801,2022-2023,Nov,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2022-11-01,3075148,202.75010403182,32,235,4549.198041896,10330,0,22157,2981780,927947,81716,831,72,403.22928,10997.989373896,92723,105967,191326,260918,2051,297544,487215,32487,6045.562052,414064,30,52.95,56.28,114.84,
3802,2022-2023,Nov,31,UTTAR PRADESH,3128,KHERI,2022-11-01,5591984,201.162560714339,36,452,7389.917225146,37790,1,25562,5495654,2146908,179629,77499,7810,463.43095,18908.546489546,148993,179957,325653,459185,6819,546092,859256,63352,11055.1983144,1323612,54,64.64,63.38,101.25,
3803,2022-2023,Nov,31,UTTAR PRADESH,3131,UNNAO,2022-11-01,3206162,206.714703080679,41,161,1781.223803853,6310,1,21565,3114735,1177988,85588,3668,396,372.63359,8592.472600853,75233,84390,174277,219660,3787,269219,387506,27875,6438.615207,964918,33,75.16,79.21,100.42,
3804,2022-2023,Nov,31,UTTAR PRADESH,3132,LUCKNOW,2022-11-01,1215865,205.356141110297,35,78,2559.571678145,4600,5,9534,1180495,784348,73061,3185,308,179.30196,5163.092616145,32963,38661,80242,113198,1795,167880,329648,14134,2424.218978,346562,26,62.72,66.4,101.01,
3805,2022-2023,Nov,31,UTTAR PRADESH,3141,HAMIRPUR,2022-11-01,3131766,199.128140229544,48,84,3424.373245692,7150,0,15471,3074616,654808,47330,776,51,186.38794,9733.186845692,63912,93102,119081,195416,5620,171902,348373,22621,6122.42566,1247719,52,72.19,84.62,105.67,
3806,2022-2023,Nov,31,UTTAR PRADESH,3146,BAHRAICH,2022-11-01,7766544,203.299729634479,49,150,13929.099108262,34434,8,43033,7564648,1658122,80343,50328,2114,702.2892,30010.297240062,153209,181162,261326,330782,16142,439821,652794,77467,15378.9089318,3065779,51,55.94,61.64,100.41,
3807,2022-2023,Nov,31,UTTAR PRADESH,3149,AYODHYA,2022-11-01,3582611,205.182122671422,39,110,2924.796283874,11633,0,16719,3491294,1406094,92726,4911,363,455.71121,10544.018631774,87701,100335,174441,240215,3657,257997,397703,28352,7163.5111379,1547183,38,64.64,65.63,100.6,
3808,2022-2023,Nov,31,UTTAR PRADESH,3152,MAHARAJGANJ,2022-11-01,6242413,201.307203334844,39,509,5754.087964611,12886,0,30841,6141697,1402611,88555,31777,2034,426.57878,18544.345212611,155222,188994,265631,385453,7676,363526,593298,43727,12363.678468,2804389,28,68.17,76.81,100.2,
3809,2022-2023,Nov,31,UTTAR PRADESH,3154,GORAKHPUR,2022-11-01,4909022,204.983149128138,44,133,3943.215112304,20734,53,25086,4752128,1691348,96713,6788,346,464.73818,14149.014917304,107742,117896,223447,274636,8287,359067,517058,45820,9741.061625,2112395,48,69.28,68.97,100.38,
3810,2022-2023,Nov,31,UTTAR PRADESH,3155,DEORIA,2022-11-01,3585633,202.941379141022,42,84,3666.236204377,14377,7,24984,3563885,844851,43304,122797,6092,443.22848,11342.062054377,83167,88372,148725,169711,4183,228263,311032,39361,7232.59737,1347535,30,72.2,72.6,99.96,
3811,2022-2023,Nov,31,UTTAR PRADESH,3158,JAUNPUR,2022-11-01,9188533,200.727533585227,46,266,6047.61543471101,49242,12,37813,9069687,3368389,127634,3165,5,631.43863,24884.413083711,194623,204240,295955,324328,12965,507252,673435,87055,18205.359019,4415546,40,71.43,72.63,100.14,
3812,2022-2023,Nov,31,UTTAR PRADESH,3170,KAUSHAMBI,2022-11-01,1791721,200.862130866727,37,96,2060.180434898,8995,45,15618,1740259,859478,67678,1077,74,142.20033,5697.902074898,46714,56970,97788,137915,1332,136341,272059,24613,3495.52131,790855,61,66.8,73.29,100.41,
3813,2022-2023,Nov,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2022-11-01,6038680,204.10315347551,43,125,3226.401044767,31739,13,41840,5799062,1982961,80514,6550,209,316.90211,15379.371568767,133978,152193,182818,220702,4004,244453,394283,73579,11836.068414,3027152,64,64.4,65.76,101.7,
3814,2022-2023,Nov,31,UTTAR PRADESH,3183,SHAMLI,2022-11-01,427051,202.750394903677,41,8,149.755848369,2331,0,3757,423521,59224,4238,252,31,7.83382,1016.280168369,10304,11857,21345,25901,535,51623,64403,6088,858.6905,122084,12,70.75,87.96,100.63,
3815,2022-2023,Nov,31,UTTAR PRADESH,3184,SAMBHAL,2022-11-01,2294810,195.861980621298,35,199,1797.919426683,9977,46,11445,2302631,669924,40709,628,28,176.90733,6484.805439683,64905,75522,103178,131112,2370,184700,275974,21422,4509.978683,566275,20,71.34,75.31,101.87,
3816,2022-2023,Nov,31,UTTAR PRADESH,3116,GHAZIABAD,2022-11-01,37,618.514745308311,6,0,0,9,144,20,373,97,8,0,0,0,2.30706,59,67,32,40,0,17259,26225,29,2.30706,144,17,33.49,54.38,100,
3817,2022-2023,Nov,31,UTTAR PRADESH,3117,BULANDSHAHR,2022-11-01,504601,199.788816919648,23,28,587.654000803,1203,57,8292,489561,87980,10803,461,54,22.44106,1588.183190803,20514,21650,46435,52449,314,77666,131608,9495,978.08813,113130,13,72.01,81.24,105.82,
3818,2022-2023,Nov,31,UTTAR PRADESH,3124,BUDAUN,2022-11-01,3435857,202.42283642467,39,350,2387.10756906,6507,3,22510,3303102,613510,39799,1832,168,376.19779,9449.53811746,84266,92835,153113,184458,3523,240796,397220,29017,6686.2327584,724015,21,72.13,76.08,100.27,
3819,2022-2023,Nov,31,UTTAR PRADESH,3126,PILIBHIT,2022-11-01,2660130,202.44360772663,29,303,2363.473719253,10781,1,8979,2580323,483629,47578,6798,602,322.1731,7909.345791453,87312,106797,163638,245199,2899,230944,357928,19760,5223.6989722,446546,20,53.87,64.49,101.8,
3820,2022-2023,Nov,31,UTTAR PRADESH,3129,SITAPUR,2022-11-01,7748296,206.150652457622,39,471,9178.36991991,28833,3,46029,7568231,3006942,240336,5011,320,766.83006,25547.15756591,190944,240333,393348,572132,9080,672513,1217572,74862,15601.957586,2272887,56,51.96,52.63,109.72,
3821,2022-2023,Nov,31,UTTAR PRADESH,3133,RAE BARELI,2022-11-01,3609478,204.099375390929,34,206,5873.897677416,18688,1,27153,3512469,1805327,166933,2815,236,425.16318,13467.988147216,103148,123977,227102,341039,3053,339465,568559,45841,7168.92728980001,1419145,36,59.4,71.37,100.78,
3822,2022-2023,Nov,31,UTTAR PRADESH,3137,KANPUR NAGAR,2022-11-01,1400805,200.097893216794,36,144,620.930417477,5684,0,12031,1364915,598053,41964,16712,1106,175.97353,3528.070106677,37593,44677,69719,97114,1512,118575,255118,17715,2731.1661592,330099,34,79.49,90.17,108.22,
3823,2022-2023,Nov,31,UTTAR PRADESH,3140,LALITPUR,2022-11-01,3332147,200.905925735308,42,135,4282.11176781401,14849,0,19296,3501287,896820,62957,268712,18575,231.74091,11548.145737814,83136,120379,143239,238642,8706,190723,355690,34145,7034.29306,1436370,56,74.1,80.44,100.84,
3824,2022-2023,Nov,31,UTTAR PRADESH,3142,BANDA,2022-11-01,2389991,202.03034468874,38,37,4491.896038254,18807,2,18453,2314639,636103,68955,807,23,213.43033,9381.599518254,60061,82568,150702,248796,2706,270688,542139,37260,4676.27315,1064732,68,72.7,60.76,101.72,
3825,2022-2023,Nov,31,UTTAR PRADESH,3145,PRAYAGRAJ,2022-11-01,5291026,206.849899661362,38,240,4799.830928377,39242,2,31839,5140592,2592878,192570,2975,174,624.63692,16057.777242377,133281,166529,279175,395644,7010,475548,756088,71081,10633.309394,2250373,64,65.45,55.37,103,
3826,2022-2023,Nov,31,UTTAR PRADESH,3156,MAU,2022-11-01,4012398,202.338669803384,38,296,2745.052977918,15461,7,14843,3924698,1396178,82983,58503,3145,344.33784,11030.572544918,102775,117035,182418,230785,3631,270366,367915,30304,7941.181727,1969160,37,63.97,65.45,101.42,
3827,2022-2023,Nov,31,UTTAR PRADESH,3162,MIRZAPUR,2022-11-01,3734020,205.484834323791,38,142,5721.123422575,21525,1,22615,3676750,1609527,125903,39068,3091,328.73123,13605.018298575,94431,125068,192648,289635,5157,320712,553303,44140,7555.163646,1728202,57,66.45,62.08,101.54,
3828,2022-2023,Nov,31,UTTAR PRADESH,3165,BAGHPAT,2022-11-01,50429,199.809035578612,24,1,13.61308662,91,4,1820,48962,16171,2214,23,13,2.06595,113.50953662,2010,2208,5550,7125,8,27582,38806,1911,97.8305,11937,8,44.73,73.04,110.71,
3829,2022-2023,Nov,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,2022-11-01,1564116,207.607071392446,37,48,1184.831856845,8306,14,13903,1516533,641108,40923,5610,355,168.21801,4501.479614845,40883,51012,72661,99536,1285,127146,252451,22209,3148.429748,726025,57,79.71,74.61,107.31,
3830,2022-2023,Nov,31,UTTAR PRADESH,3176,SHRAVASTI,2022-11-01,1960937,205.418363179906,41,113,1197.564684543,4558,0,11236,1890446,547639,37281,12600,1158,139.93641,5220.824324543,45756,56965,87866,124359,1375,137002,221030,15794,3883.32323,705711,38,71.71,73.8,103.59,
3831,2022-2023,Nov,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,2022-11-01,4058297,203.045135494555,38,113,4521.255828018,22667,0,30150,3925250,1492127,91045,11805,516,342.79058,12834.075589018,101612,119489,167373,223451,4112,283797,456650,52817,7970.029181,1713511,46,72.92,69.95,101.09,
3832,2022-2023,Nov,31,UTTAR PRADESH,3179,MAHOBA,2022-11-01,976261,201.067794375171,42,20,1682.291053166,4074,1,10447,947940,263332,31809,1223,113,122.20146,3710.494563166,22431,33821,56488,103410,1872,79496,182743,14521,1906.00205,366332,52,74.3,71.94,101.45,
3833,2022-2023,Nov,31,UTTAR PRADESH,3181,AMETHI,2022-11-01,3865781,204.693315345005,44,96,4320.023728957,13750,0,20142,3799686,1159839,69522,513,2,410.71031,12508.437285057,84710,102419,156926,214216,5205,258722,401356,33892,7777.7032461,1407668,44,49.98,52.29,102.86,
3834,2022-2023,Nov,31,UTTAR PRADESH,3111,RAMPUR,2022-11-01,2919120,205.460793496712,40,109,2975.346538631,5372,3,17033,2837088,547588,35855,1460,58,255.12346,9059.573515631,69321,76401,115293,140913,2039,175148,233293,22405,5829.103517,567838,20,54.31,58.78,102.6,
3835,2022-2023,Nov,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,2022-11-01,886751,200.059286080657,41,19,308.263625819,1759,0,5891,853934,237975,14699,771,105,35.81039,2052.448279819,20494,22231,42738,48528,1032,109990,141814,7650,1708.374264,284461,11,69.59,83.13,111.63,
3836,2022-2023,Nov,31,UTTAR PRADESH,3118,ALIGARH,2022-11-01,2949061,202.816529655866,32,196,2660.621445247,12176,1,21954,2881403,731578,43824,3328,233,135.2925,8639.875515247,88603,99737,138273,167648,1976,236119,320118,34130,5843.96157,663042,24,75.81,83.85,102.77,
3837,2022-2023,Nov,31,UTTAR PRADESH,3123,MAINPURI,2022-11-01,2861766,203.743119419573,43,87,3063.926042139,13586,3,15219,2808141,751900,47289,5681,313,221.99022,9007.310333239,64785,74432,127255,166214,3956,189083,265276,28805,5721.3940711,811452,22,66.97,71.61,113.56,
3838,2022-2023,Nov,31,UTTAR PRADESH,3125,BAREILLY,2022-11-01,3646935,203.016198067297,33,776,3228.625148018,12342,0,24686,3551399,757413,66773,2218,152,411.69314,10850.233516018,105508,126815,207733,291275,3049,287636,441129,37028,7209.915228,683699,34,68.87,80.33,101.54,
3839,2022-2023,Nov,31,UTTAR PRADESH,3136,KANPUR DEHAT,2022-11-01,1726236,207.449840284575,34,178,1498.711909688,8159,0,20982,1675480,706959,56105,1411,133,262.06298,5236.555473688,48350,56466,99343,132280,1212,163266,352057,29141,3475.780584,447220,41,67.5,75.56,104.31,
3840,2022-2023,Nov,31,UTTAR PRADESH,3138,JALAUN,2022-11-01,5885729,202.927796507333,48,398,7938.085028082,12249,1,24337,5799924,1854175,84631,444,9,227.7009,19935.443900382,119360,168175,159729,241913,4283,243724,483422,36586,11769.6579723,2096626,38,60.6,63.44,106.89,
3841,2022-2023,Nov,31,UTTAR PRADESH,3148,BARABANKI,2022-11-01,5436309,202.08821518941,45,170,7720.613284199,14569,0,27944,5325355,2305381,145168,714,49,494.88052,18977.408676199,117382,139797,235800,320109,8454,383144,623247,42513,10761.914872,1767008,36,59.66,61.98,100.72,
3842,2022-2023,Nov,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,2022-11-01,8606779,203.014060792192,43,155,9692.914878351,18165,5,24651,8271753,1890608,80321,358,15,504.57272,26990.309262351,188023,206977,285722,337512,6593,396705,584869,42816,16792.821664,4410087,29,56.71,69.08,103.51,
3843,2022-2023,Nov,31,UTTAR PRADESH,3159,BALLIA,2022-11-01,4578169,205.233519161936,41,161,2573.448649632,19101,8,30007,4461997,952220,56245,177843,9317,458.51455,12189.476667632,108263,122354,184099,230865,5034,369725,534104,49108,9157.513468,1843812,39,73.96,74.39,100.32,
3844,2022-2023,Nov,31,UTTAR PRADESH,3160,GHAZIPUR,2022-11-01,6675924,206.00687355852,36,214,4969.366266482,19425,0,31821,6409645,1590252,106957,61105,3552,427.53064,18601.206177182,177895,208226,291535,390475,2769,458213,665231,51246,13204.3092707,2651151,48,57.58,55.8,124.61,
3845,2022-2023,Nov,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,2022-11-01,10431,212.113314145613,21,0,0,62,4,211,9381,2693,384,139,18,0,19.89835,445,455,971,1091,0,16979,19783,273,19.89835,1657,9,0.45,93.02,111.36,
3846,2022-2023,Nov,31,UTTAR PRADESH,3166,HATHRAS,2022-11-01,1280237,201.617612751687,35,32,597.761392112,2586,8,8193,1240181,420592,27018,1024,51,130.57082,3228.755538112,34953,40819,61516,80897,1426,97851,141222,10779,2500.423326,232035,10,82.04,87.3,105.84,
3847,2022-2023,Nov,31,UTTAR PRADESH,3168,KANNAUJ,2022-11-01,1952807,204.89697370226,32,154,1017.682256561,4782,5,13461,1895372,602741,42509,16,0,195.98502,5097.227144961,58518,66724,91769,117786,2270,163549,231169,18243,3883.5598684,327749,32,82.75,83.62,105.36,
3848,2022-2023,Nov,31,UTTAR PRADESH,3169,AURAIYA,2022-11-01,1555231,206.618983585111,37,41,1859.977912473,5594,0,12776,1519596,691260,45815,5776,360,172.37704,5172.128762273,40002,44822,82003,103083,1118,159010,224474,18370,3139.7738098,366587,29,58.67,73.29,112.47,
3849,2022-2023,Nov,31,UTTAR PRADESH,3177,CHITRAKOOT,2022-11-01,1993866,203.850267711312,38,48,3677.568530822,8797,3,13139,1941457,883170,75349,440,25,177.84502,7813.078842822,49885,70646,105167,171991,2697,155955,288314,21936,3957.665292,881216,60,70.1,71.06,104.07,
3850,2022-2023,Nov,31,UTTAR PRADESH,3109,BIJNOR,2022-11-01,3535914,202.191732071882,27,252,3517.011584192,5562,6,23730,3453904,1370164,121169,10570,700,274.51164,10775.031545892,126798,155377,196238,280241,2577,281406,430439,29292,6983.5083217,951567,28,50.73,59.37,104.85,
3851,2022-2023,Nov,31,UTTAR PRADESH,3110,MORADABAD,2022-11-01,2871354,198.498081368015,40,144,2186.731758015,7254,3,13024,2743830,560205,37869,2018,122,220.96341,7854.145074015,67882,79578,127842,172977,2775,190289,296268,20278,5446.449906,707678,27,81.25,84.06,101.25,
3852,2022-2023,Nov,31,UTTAR PRADESH,3121,FIROZABAD,2022-11-01,2770060,200.22664170842,39,88,2109.514904235,9217,6,14876,2733098,835795,29887,7748,104,147.26346,7729.168704235,68414,75742,86314,95406,2573,147879,233304,24093,5472.39034,1000811,22,74.69,77.82,100.19,
3853,2022-2023,Nov,31,UTTAR PRADESH,3130,HARDOI,2022-11-01,5702546,205.815444585472,41,178,4300.759492129,20557,2,37493,5547381,1931986,117501,6893,422,440.64917,16158.775530129,134989,144959,267741,323124,5438,476526,772817,58050,11417.366868,1051370,26,57.46,62.54,105.35,
3854,2022-2023,Nov,31,UTTAR PRADESH,3135,ETAWAH,2022-11-01,2180269,205.819648956495,39,72,2035.172695501,8955,0,12374,2128739,783649,45099,2100,126,224.69158,6641.227412501,54177,60934,97639,119394,3309,156361,225599,21329,4381.363137,538229,27,60.42,76.2,100.94,
3855,2022-2023,Nov,31,UTTAR PRADESH,3143,FATEHPUR,2022-11-01,3736302,201.262486398401,41,172,5298.988262876,16957,0,19929,3643873,1422068,88066,1795,78,438.62296,13071.360623876,87964,98460,168637,213361,2829,285624,428227,36886,7333.749401,1455327,55,60.5,74.99,101.24,
3856,2022-2023,Nov,31,UTTAR PRADESH,3144,PRATAPGARH,2022-11-01,5793021,203.19650118178,44,135,3684.211685857,36897,55,42663,5688878,2339336,106187,17339,499,472.21693,15716.029668357,129152,139755,218877,250678,6804,389787,562464,79560,11559.6010525,2692365,50,61.73,77.98,107.08,
3857,2022-2023,Nov,31,UTTAR PRADESH,3161,VARANASI,2022-11-01,1663944,205.25891424571,31,130,1963.664743367,10217,4,15052,1635545,633793,55086,9777,967,209.41215,5530.178802367,51172,64803,95613,146913,1381,181729,306497,25269,3357.101909,797009,42,52.96,59.02,101.28,
3858,2022-2023,Nov,31,UTTAR PRADESH,3167,AMROHA,2022-11-01,2820921,200.439560272107,39,177,1159.842563988,10895,1,11573,2769349,699391,44137,730,52,198.46896,6909.182481988,70729,85406,113755,159080,4755,161194,272063,22468,5550.870958,638543,16,82.12,84.73,101.64,
